%CPU     ELAPSED
 0.0       00:00
%CPU     ELAPSED
 223       00:01
%CPU     ELAPSED
 205       00:02
%CPU     ELAPSED
 197       00:03
%CPU     ELAPSED
 194       00:04
%CPU     ELAPSED
 193       00:05
%CPU     ELAPSED
 191       00:06
%CPU     ELAPSED
 166       00:08
%CPU     ELAPSED
 168       00:09
%CPU     ELAPSED
 169       00:10
%CPU     ELAPSED
